ID,artist,title,genre
a726,Simon & Garfunkel,The Boxer,folk
a727,Simon & Garfunkel,Bridge Over Troubled Water,folk
a728,Simon & Garfunkel,Cecilia / The Only Living Boy in New York,folk
a729,Simon & Garfunkel,The Boxer,folk
a730,Sheryl Crow,Leaving Las Vegas,folk
a731,Sheryl Crow,Run Baby Run,folk
a732,Sheryl Crow,Strong Enough,folk
a733,Sheryl Crow,Can't Cry Anymore,folk
a734,Sheryl Crow,A Change Would Do You Good,folk
a735,Sheryl Crow,Everyday Is a Winding Road,folk
a736,Sheryl Crow,Everyday Is A Winding Road,folk
a737,Sheryl Crow,If It Makes You Happy,folk
a738,Shawn Mullins,Shimmer,folk
a739,Serj Tankian,Sky Is Over,folk
a740,Marc Streitenfeld-Mike Patton-Serj Tankian,Bird’s Eye,folk
a741,Serj Tankian,Fears,folk
a742,Serj Tankian,The Charade,folk
a743,Serj Tankian,Left of Center,folk
a744,Serj Tankian,Figure It Out,folk
a745,Serj Tankian,Cornucopia,folk
a746,Ray Harmony-Serj Tankian-Ihsahn-Devin Townsend-Abbie Johnson,We Are,folk
a747,Benny Benassi-Serj Tankian,Shooting Helicopters,folk
a750,Oysterband,Everywhere I Go,folk
a751,Oysterband,One Green Hill / Jam Tomorrow,folk
a752,Oysterband,On the Edge,folk
a753,Oysterband,Street of Dreams,folk
a754,Oysterband,This Is the Voice,folk
a755,Oysterband,The Soul's Electric,folk
a756,Oysterband,Rise Above,folk
a757,Nelly Furtado,Más,folk
a758,Nelly Furtado,Mi plan,folk
a759,Nelly Furtado,Manos al aire,folk
a760,Nelly Furtado-Julieta Venegas-Mala Rodríguez,Bajo otra luz,folk
a761,Nelly Furtado,Silencio,folk
a762,Timbaland-Nelly Furtado-SoShy,Morning After Dark,folk
a763,Tiësto-Nelly Furtado,Who Wants to Be Alone,folk
a764,Goldroom-The Mammals,Till Sunrise,folk
a765,The Lost Brothers-G Tom Mac,Cry Little Sister (I Need U Now),folk
a766,The Legendary Pink Dots,Sterre,folk
a768,The John Butler Trio,JBT,folk
a769,The Indelicates,We Hate the Kids,folk
a778,Suzy Bogguss,Letting Go,folk
a779,Sheryl Crow,Hard to Make a Stand,folk
a780,Sheryl Crow,Tomorrow Never Dies,folk
a781,Sheryl Crow,There Goes the Neighborhood,folk
a782,Sheryl Crow,My Favorite Mistake,folk
a783,Sheryl Crow,Anything but Down,folk
a784,Sheryl Crow,Anything But Down,folk
a785,Sheryl Crow,Soak Up the Sun,folk
a786,Sheryl Crow,Steve McQueen,folk
a787,Oysterband,Here Comes The Flood,folk
a788,Oysterband,Love Will Tear Us Apart,folk
a789,K'naan-Nelly Furtado,Is Anybody Out There?,folk
a790,Nelly Furtado,Big Hoops (Bigger The Better),folk
a791,Nelly Furtado,Spirit indestructible,folk
a792,Blood Orange-Nelly Furtado,Hadron Collider,folk
a793,Thea Gilmore,Fever Beats,folk
a796,The Waifs,Lighthouse,folk
a797,The Waifs,Bridal Train,folk
a798,The Waifs,Sun Dirt Water,folk
a799,The Vad Vuc-Finny McConnell,Rise Again,folk
a800,The Vad Vuc,Sota i ciapp,folk
a815,The Rankin Family,Maybe You're Right,folk
a816,The Legendary Pink Dots,The Pre-Millennial Single,folk
a817,The Legendary Pink Dots,A Scented Collage,folk
a819,The John Butler Trio,What You Want,folk
a821,The Indelicates,America,folk
a822,The Indelicates,Sixteen,folk
a823,The Indelicates,The Recession Song,folk
a824,The Indelicates,Zuhalterballade,folk
a825,The Indelicates,For Old Men,folk
a826,The Indelicates,April Fools Dubstep,folk
a827,The Indelicates,Double Dip Recession 2012,folk
a828,Sheryl Crow-Wolfgang Niedecken,It's So Easy,folk
a829,Sheryl Crow,The First Cut Is the Deepest,folk
a830,Sheryl Crow,Good Is Good,folk
a831,Sheryl Crow,Not Fade Away,folk
a832,Sheryl Crow,Woman in the White House,folk
a833,Sheryl Crow,Easy,folk
a834,Sheryl Crow,Home,folk
a838,Thea Gilmore,Instead of the Saints,folk
a839,Thea Gilmore,Juliet (Keep That in Mind),folk
a840,Thea Gilmore,Mainstream,folk
a841,Thea Gilmore,Cheap Tricks,folk
a842,Thea Gilmore-Dave McCabe,Old Soul,folk
a843,Thea Gilmore,How the Love Gets In,folk
a845,Violent Femmes,Ugly,folk
a846,Vienna Teng,White Light (acoustic version),folk
a847,Van Morrison,Bright Side of the Road,folk
a850,RIFICA-Uncle Earl-Nika Douglas,Date Night,folk
a851,Ulver,February MMX,folk
a852,Tyrone Wells,Let It Snow! Let It Snow! Let It Snow!,folk
a853,Tyrone Wells,Grace Is Dancing,folk
a856,twin hidden,Unconditionally,folk
a857,twin hidden,Boomerang - Single,folk
a858,twin hidden,Join Hands - Single,folk
a863,Trembling Bells,Hallelujah / Wah Wah,folk
a880,The Indelicates,The Ballad of Indiana Bear,folk
a881,The Indelicates,The Generation That Nobody Remembered,folk
a882,The Indelicates,You Never Fought A War,folk
a885,Wenzel,Ahoi! Ahoi!,folk
a888,The Lovin’ Spoonful,Do You Believe in Magic / On the Road Again,folk
a889,The Byrds,Turn! Turn! Turn! / She Don't Care About Time,folk
a890,Roberta Flack-Donny Hathaway,Back Together Again,folk
a894,Kate Bush,Wuthering Heights,folk
a895,John Lennon-Yoko Ono,Instant Karma! / Who Has Seen the Wind?,folk
a897,Jefferson Airplane,Martha / Watch Her Ride,folk
a905,AURORA,Awakening,folk
a906,AURORA,Under Stars,folk
a907,AURORA,Runaway,folk
