ID, Artist, Song, Genre
488,Phil Collins,Tarzan,jazz
489,Phil Collins,In the Air Tonite,jazz
491,Mitski,Your Best American Girl,folk
492,Mississippi John Hurt,Frankie / Nobody's Dirty Business,folk
493,Mindy Smith-Matthew Perryman Jones,Anymore of This,folk
497,Michelle Shocked,(Don't You Mess Around With) My Little Sister,folk
498,Gabriel Rios-Michael Franti-Flip Kowlier,What's This?,folk
500,Metsatöll,Veelind,folk
504,Chet Atkins-Mark Knopfler,Poor Boy Blues,folk
505,Mark Knopfler,Going Home: Theme from Local Hero,folk
506,Mark Knopfler,Darling Pretty,folk
507,Mark Knopfler,Cannibals,folk
508,Marissa Nadler,Blood and Tears,folk
522,Tori Amos,Spark,jazz
523,Tori Amos,Raspberry Swirl,jazz
524,Tori Amos,Jackie's Strength,jazz
525,Tori Amos,Cruel / Raspberry Swirl,jazz
526,Tori Amos,Bliss,jazz
527,Van Morrison,Rough God Goes Riding,jazz
528,Van Morrison,The Healing Game,jazz
529,Van Morrison,Precious Time,jazz
530,Earth, Wind & Fire,All in the Way,jazz
531,Earth, Wind & Fire,Guiding Lights,jazz
532,A'mari,Touch,jazz
533,A'mari,Juicy Ain’t It,jazz
534,A'mari,Sin City,jazz
535,A'mari,No Ordinary Girl,jazz
536,Phil Collins,Can't Stop Loving You,jazz
537,Phil Collins,The Least You Can Do,jazz
538,Phil Collins,Wake Up Call,jazz
545,Ryan Hemsworth-Keaton Henson-Mitski,Wait,folk
546,Michelle Shocked,On the Greener Side,folk
547,Michelle Shocked,Come a Long Way,folk
548,Norah Jones,Don’t Know Why,folk
549,Andrew Bird-Nora O'Connor-Robbie Fulks,I'll Trade You Money For Wine / Core And Rind,folk
550,Noah and the Whale,Shape of My Heart,folk
551,Noah and the Whale,5 Years Time,folk
552,Noah and the Whale,L.I.F.E.G.O.E.S.O.N.,folk
555,Nelly Furtado,Turn Off the Light,folk
556,Whiskeytown-Neko Case-The Sadies,Car Songs,folk
558,Nara Leão,Carcará / Corisco,folk
559,Metsatöll,Kivine maa,folk
560,Metsatöll,Lööme mesti,folk
566,Mark Knopfler,What It Is,folk
567,Mark Knopfler,Sailing to Philadelphia,folk
568,Mark Knopfler,Silvertown Blues,folk
569,Mark Knopfler,Why Aye Man,folk
570,Mark Knopfler,Boom, Like That,folk
571,Mark Knopfler,Punish the Monkey,folk
579,Tori Amos,1000 Oceans,jazz
580,Tori Amos,Glory of the 80's,jazz
581,Tori Amos,Concertina,jazz
582,Tori Amos,Strange Little Girl,jazz
583,Tori Amos,A Sorta Fairytale,jazz
592,Norah Jones,Come Away With Me,folk
593,Norah Jones,Turn Me On,folk
594,Norah Jones,Don't Know Why / I'll Be Your Baby Tonight,folk
595,Norah Jones,Sunrise,folk
596,Norah Jones,Thinking About You,folk
597,Norah Jones,Stuck,folk
598,Nelly Furtado,I'm Like a Bird,folk
599,Nelly Furtado,…On the Radio (Remember the Days),folk
600,Nelly Furtado,Hey, Man!,folk
601,Nelly Furtado,Powerless (Say What You Want),folk
602,Nelly Furtado,Try,folk
603,Nelly Furtado,Força,folk
604,Nelly Furtado,Explode,folk
605,Nick Cave-Neko Case,She's Not There,folk
606,Neko Case,Man (Edit),folk
607,Mark Knopfler,Darling Pretty,folk
615,Tori Amos,Don't Make Me Come to Vegas,jazz
616,Tori Amos,Mary,jazz
617,Tori Amos,Flavor (Peter Rauhofer Mixes),jazz
619,Ry Cooder,634 - 5789,folk
625,Roy Harper,Death or Glory?,folk
626,Rosie Thomas-Sufjan Stevens,Hit & Run Vol. 1,folk
630,Rodney Crowell,I Walk the Line (Revisited),folk
632,Robyn Hitchcock,America,folk
633,Edward II & The Red Hot Polkas,Rose of England / Dawn Run,folk
634,Leon Rosselson-Billy Bragg,Ballad of a Spycatcher,folk
637,Oysterband,New York Girls,folk
639,Norah Jones,Happy Pills,folk
640,Norah Jones,It Came Upon a Midnight Clear,folk
641,Nelly Furtado,The Grass Is Green,folk
642,Nelly Furtado-Timbaland,Promiscuous,folk
643,Nelly Furtado,Maneater,folk
644,Nelly Furtado,All Good Things (Come to an End),folk
645,Nelly Furtado,Say It Right,folk
646,Timbaland-Nelly Furtado-Justin Timberlake,Give It to Me,folk
649,Humming House-Jill Andrews-Sam Bush,Maybe I'm Amazed,folk
650,San Fermin-Sam Amidon,Shiver,folk
664,Simon Campbell-Suzy Starlite,Happiness in Halos,folk
665,Simon & Garfunkel,The Sound of Silence,folk
668,Sheryl Crow,All I Wanna Do,folk
669,Shawn Mullins,Lullaby,folk
670,Shawn Mullins,What Is Life,folk
